Model,Scenario,Format,Success,RulesFired,GenerationTimeMs,ErrorMessage
qwen2.5-coder:14b-instruct-q4_K_M,Adult Validation,DRL,true,1,7824,
qwen2.5-coder:14b-instruct-q4_K_M,Adult Validation,YAML,true,1,2687,
qwen2.5-coder:14b-instruct-q4_K_M,Adult Validation,ENGLISH,true,1,3004,
qwen2.5-coder:14b-instruct-q4_K_M,Senior Citizen Discount,DRL,true,2,2320,
qwen2.5-coder:14b-instruct-q4_K_M,Senior Citizen Discount,YAML,true,2,2893,
qwen2.5-coder:14b-instruct-q4_K_M,Senior Citizen Discount,ENGLISH,true,2,4804,
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Basic,DRL,true,1,1801,
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Basic,YAML,true,1,2270,
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Basic,ENGLISH,false,0,4275,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Apply_Discount2034877328
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Apply_Discount2034877328
The method setDiscountApplied(boolean) is undefined for the type Rule_Apply_Discount2034877328
Syntax error, insert "";"" to complete Statement]]"
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Tiered,DRL,true,1,4080,
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Tiered,YAML,true,1,6069,
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Tiered,ENGLISH,false,0,10185,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Apply_Premium_Discount1957289013
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Apply_Premium_Discount1957289013
The method setDiscountTier(String) is undefined for the type Rule_Apply_Premium_Discount1957289013
Syntax error, insert "";"" to complete Statement], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=17, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Apply_Gold_Discount1994122619
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Apply_Gold_Discount1994122619
The method setDiscountTier(String) is undefined for the type Rule_Apply_Gold_Discount1994122619
Syntax error, insert "";"" to complete Statement], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=24, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Apply_Silver_Discount1504539612
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Apply_Silver_Discount1504539612
The method setDiscountTier(String) is undefined for the type Rule_Apply_Silver_Discount1504539612
Syntax error, insert "";"" to complete Statement]]"
qwen2.5-coder:14b-instruct-q4_K_M,Simple Calculation,DRL,true,1,2363,
qwen2.5-coder:14b-instruct-q4_K_M,Simple Calculation,YAML,false,0,2315,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method setTaxAmount(double) in the type Invoice is not applicable for the arguments (String)
The method setTotal(double) in the type Invoice is not applicable for the arguments (String)]]"
qwen2.5-coder:14b-instruct-q4_K_M,Simple Calculation,ENGLISH,true,1,4674,
qwen2.5-coder:14b-instruct-q4_K_M,Email Validation,DRL,true,1,1311,
qwen2.5-coder:14b-instruct-q4_K_M,Email Validation,YAML,true,1,1755,
qwen2.5-coder:14b-instruct-q4_K_M,Email Validation,ENGLISH,true,1,2490,
qwen2.5-coder:14b-instruct-q4_K_M,Password Strength,DRL,true,1,2790,
qwen2.5-coder:14b-instruct-q4_K_M,Password Strength,YAML,true,1,4487,
qwen2.5-coder:14b-instruct-q4_K_M,Password Strength,ENGLISH,true,1,6170,
qwen2.5-coder:14b-instruct-q4_K_M,Age Classification,DRL,true,1,3445,
qwen2.5-coder:14b-instruct-q4_K_M,Age Classification,YAML,true,1,5450,
