Model,Scenario,Format,Success,RulesFired,GenerationTimeMs,ErrorMessage
qwen3-coder-next,Adult Validation,DRL,true,1,66263,
qwen3-coder-next,Age Classification,DRL,true,4,66116,
qwen3-coder-next,Age Validation Simple,DRL,true,3,39727,
qwen3-coder-next,Order Discount - Basic,DRL,true,1,31131,
qwen3-coder-next,Bulk Order Discount,DRL,true,1,40275,
qwen3-coder-next,Cart Validation,DRL,true,5,73026,
qwen3-coder-next,Credit Card Approval,DRL,true,4,107977,
qwen3-coder-next,Email Validation,DRL,true,1,23979,
qwen3-coder-next,Grade Calculation,DRL,true,1,70287,
qwen3-coder-next,Insurance Premium Tier,DRL,true,1,62755,
qwen3-coder-next,Insurance Risk Assessment,DRL,true,4,102451,
qwen3-coder-next,Inventory Alert,DRL,true,1,26413,
qwen3-coder-next,Loan Approval Complex,DRL,true,3,76624,
qwen3-coder-next,Loan Eligibility,DRL,true,1,34947,
qwen3-coder-next,Loyalty Points,DRL,true,1,29892,
qwen3-coder-next,Missing Document Alert,DRL,true,2,63817,
qwen3-coder-next,Order Discount by Customer Type,DRL,true,4,124263,
qwen3-coder-next,Order Fraud Detection,DRL,true,3,94563,
qwen3-coder-next,Password Strength,DRL,true,1,63286,
qwen3-coder-next,Priority Assignment,DRL,true,1,64425,
qwen3-coder-next,Senior Citizen Discount,DRL,true,2,40037,
qwen3-coder-next,Shipping Cost,DRL,true,1,58627,
qwen3-coder-next,Shipping Method Priority,DRL,true,104,95741,
qwen3-coder-next,Simple Calculation,DRL,true,1,36260,
qwen3-coder-next,Status Transition,DRL,true,1,30964,
qwen3-coder-next,Subscription Renewal,DRL,true,5,79734,
qwen3-coder-next,Tax Bracket,DRL,true,1,66667,
qwen3-coder-next,Tax Calculation Chain,DRL,true,10,160069,
qwen3-coder-next,Order Discount - Tiered,DRL,true,1,75909,
granite4:small-h,Adult Validation,DRL,true,1,60541,
granite4:small-h,Age Classification,DRL,true,4,34534,
granite4:small-h,Age Validation Simple,DRL,true,3,19408,
granite4:small-h,Order Discount - Basic,DRL,true,1,16025,
granite4:small-h,Bulk Order Discount,DRL,false,0,21146,"Test case 'Qualifies for VIP' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=11, column=0
   text=Rule Compilation error The method setVip(boolean) is undefined for the type Customer]]"
granite4:small-h,Cart Validation,DRL,true,5,39191,
granite4:small-h,Credit Card Approval,DRL,false,0,53720,Test case 'Premium Card Approval' failed: Expected 1 rules to fire but got 2
granite4:small-h,Email Validation,DRL,true,1,12237,
granite4:small-h,Grade Calculation,DRL,true,1,41647,
granite4:small-h,Insurance Premium Tier,DRL,true,1,34362,
granite4:small-h,Insurance Risk Assessment,DRL,false,0,32760,Test case 'Medium Risk - Age Factor' failed: Expected 1 rules to fire but got 100
granite4:small-h,Inventory Alert,DRL,true,1,14530,
granite4:small-h,Loan Approval Complex,DRL,true,3,36937,
granite4:small-h,Loan Eligibility,DRL,true,1,17498,
granite4:small-h,Loyalty Points,DRL,true,1,15121,
granite4:small-h,Missing Document Alert,DRL,true,2,31126,
granite4:small-h,Order Discount by Customer Type,DRL,false,0,41191,"ERROR: [ERR 102] Line 14:8 mismatched input 'modify' in rule ""Apply premium discount""
ERROR: [ERR 102] Line 27:8 mismatched input 'modify' in rule ""Apply regular discount""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4:small-h,Order Fraud Detection,DRL,true,3,48628,
granite4:small-h,Password Strength,DRL,true,1,25459,
granite4:small-h,Priority Assignment,DRL,true,1,34720,
granite4:small-h,Senior Citizen Discount,DRL,true,2,19819,
granite4:small-h,Shipping Cost,DRL,true,1,27623,
granite4:small-h,Shipping Method Priority,DRL,true,205,60103,
granite4:small-h,Simple Calculation,DRL,false,0,18610,Test case 'Calculate Tax' failed: class org.drools.generated.Rule_Calculate_Tax_and_Total1339384356 tried to access protected field org.drools.generated.Invoice.subtotal (org.drools.generated.Rule_Calculate_Tax_and_Total1339384356 is in unnamed module of loader org.drools.wiring.dynamic.PackageClassLoader @234a3b1d; org.drools.generated.Invoice is in unnamed module of loader org.drools.wiring.dynamic.DynamicProjectClassLoader$DefaultInternalTypesClassLoader @75899b9c)
granite4:small-h,Status Transition,DRL,true,1,16387,
granite4:small-h,Subscription Renewal,DRL,true,5,37139,
granite4:small-h,Tax Bracket,DRL,true,1,29867,
granite4:small-h,Tax Calculation Chain,DRL,true,10,92187,
granite4:small-h,Order Discount - Tiered,DRL,true,1,38911,
qwen2.5-coder:14b-instruct-q4_K_M,Adult Validation,DRL,true,1,23701,
qwen2.5-coder:14b-instruct-q4_K_M,Age Classification,DRL,true,4,3274,
qwen2.5-coder:14b-instruct-q4_K_M,Age Validation Simple,DRL,true,3,1724,
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Basic,DRL,true,1,1618,
qwen2.5-coder:14b-instruct-q4_K_M,Bulk Order Discount,DRL,false,0,1995,"Test case 'Qualifies for VIP' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=11, column=0
   text=Rule Compilation error The method setVip(boolean) is undefined for the type Customer]]"
qwen2.5-coder:14b-instruct-q4_K_M,Cart Validation,DRL,true,5,3615,
qwen2.5-coder:14b-instruct-q4_K_M,Credit Card Approval,DRL,false,0,4856,Test case 'Premium Card Approval' failed: Expected 1 rules to fire but got 2
qwen2.5-coder:14b-instruct-q4_K_M,Email Validation,DRL,true,1,1213,
qwen2.5-coder:14b-instruct-q4_K_M,Grade Calculation,DRL,true,1,3768,
qwen2.5-coder:14b-instruct-q4_K_M,Insurance Premium Tier,DRL,true,1,3256,
qwen2.5-coder:14b-instruct-q4_K_M,Insurance Risk Assessment,DRL,false,0,3009,Test case 'High Risk - Smoker' failed: Expected 1 rules to fire but got 2
qwen2.5-coder:14b-instruct-q4_K_M,Inventory Alert,DRL,true,1,1408,
qwen2.5-coder:14b-instruct-q4_K_M,Loan Approval Complex,DRL,true,3,3785,
qwen2.5-coder:14b-instruct-q4_K_M,Loan Eligibility,DRL,true,1,1810,
qwen2.5-coder:14b-instruct-q4_K_M,Loyalty Points,DRL,true,1,1606,
qwen2.5-coder:14b-instruct-q4_K_M,Missing Document Alert,DRL,true,2,3065,
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount by Customer Type,DRL,true,4,6450,
qwen2.5-coder:14b-instruct-q4_K_M,Order Fraud Detection,DRL,true,3,4466,
qwen2.5-coder:14b-instruct-q4_K_M,Password Strength,DRL,true,1,2406,
qwen2.5-coder:14b-instruct-q4_K_M,Priority Assignment,DRL,true,1,3313,
qwen2.5-coder:14b-instruct-q4_K_M,Senior Citizen Discount,DRL,true,2,2183,
qwen2.5-coder:14b-instruct-q4_K_M,Shipping Cost,DRL,true,1,3319,
qwen2.5-coder:14b-instruct-q4_K_M,Shipping Method Priority,DRL,true,7,4514,
qwen2.5-coder:14b-instruct-q4_K_M,Simple Calculation,DRL,true,1,2060,
qwen2.5-coder:14b-instruct-q4_K_M,Status Transition,DRL,true,1,1513,
qwen2.5-coder:14b-instruct-q4_K_M,Subscription Renewal,DRL,true,5,3612,
qwen2.5-coder:14b-instruct-q4_K_M,Tax Bracket,DRL,true,1,3625,
qwen2.5-coder:14b-instruct-q4_K_M,Tax Calculation Chain,DRL,false,0,8456,"Test case 'Low Tax Bracket' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=17, column=0
   text=Rule Compilation error salary cannot be resolved to a variable
bonuses cannot be resolved to a variable
investments cannot be resolved to a variable], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=26, column=0
   text=Rule Compilation error dependents cannot be resolved to a variable
expenses cannot be resolved to a variable], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=35, column=0
   text=Rule Compilation error grossIncome cannot be resolved to a variable
deductions cannot be resolved to a variable], Message [id=4, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=61, column=0
   text=Rule Compilation error netIncome cannot be resolved to a variable]]"
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Tiered,DRL,true,1,3591,
qwen3,Adult Validation,DRL,true,1,10348,
qwen3,Age Classification,DRL,false,0,20444,"ERROR: [ERR 102] Line 13:44 mismatched input '<eof>' in rule ""Classify as CHILD""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
qwen3,Age Validation Simple,DRL,true,3,4530,
qwen3,Order Discount - Basic,DRL,true,1,3722,
qwen3,Bulk Order Discount,DRL,false,0,5517,"Test case 'Qualifies for VIP' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=11, column=0
   text=Rule Compilation error The method setVip(boolean) is undefined for the type Customer]]"
qwen3,Cart Validation,DRL,false,0,8226,"Test case 'Out of Stock Rejection' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=14, column=0
   text=Rule Compilation error The method modify(ShoppingCart) is undefined for the type Rule_Handle_out_of_stock_items1971308020
Syntax error, insert "";"" to complete Statement
The method setRejected(boolean) is undefined for the type Rule_Handle_out_of_stock_items1971308020
The method setRejectionReason(String) is undefined for the type Rule_Handle_out_of_stock_items1971308020]]"
qwen3,Credit Card Approval,DRL,false,0,20475,Validation exception: DRL code cannot be null or empty
qwen3,Email Validation,DRL,true,1,8906,
qwen3,Grade Calculation,DRL,true,1,10108,
qwen3,Insurance Premium Tier,DRL,true,1,8859,
qwen3,Insurance Risk Assessment,DRL,false,0,19892,Test case 'Medium Risk - Age Factor' failed: Expected 1 rules to fire but got 2
qwen3,Inventory Alert,DRL,true,1,4131,
qwen3,Loan Approval Complex,DRL,false,0,20488,"ERROR: [ERR 102] Line 7:24 mismatched input '<eof>'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
qwen3,Loan Eligibility,DRL,true,1,3736,
qwen3,Loyalty Points,DRL,true,1,15521,
qwen3,Missing Document Alert,DRL,false,0,20437,"Test case 'Adult Missing ID' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=13, column=0
   text=Rule Compilation error The method modify(Application) is undefined for the type Rule_Incomplete_Application_$u45$_Identity_Document753720630
Syntax error, insert "";"" to complete Statement
The method setIncomplete(boolean) is undefined for the type Rule_Incomplete_Application_$u45$_Identity_Document753720630
The method setMissingDocumentType(String) is undefined for the type Rule_Incomplete_Application_$u45$_Identity_Document753720630], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=20, column=0
   text=Rule Compilation error The method modify(Application) is undefined for the type Rule_Incomplete_Application_$u45$_Income_Verification1652605343
Syntax error, insert "";"" to complete Statement
The method setIncomplete(boolean) is undefined for the type Rule_Incomplete_Application_$u45$_Income_Verification1652605343
The method setMissingDocumentType(String) is undefined for the type Rule_Incomplete_Application_$u45$_Income_Verification1652605343]]"
qwen3,Order Discount by Customer Type,DRL,true,4,8012,
